,Date,Time,Number of Jumps,FARS Point Number,Carrier Frequency /MHz,Sideband Frequency /MHz,Total Frequency /MHz,Real freq,Detuning,Mean tau/us,Mean tau/us offset,Mean tau/us corr,Mean tau/us corr offset,tau std. dev./us,tau rel. std. dev./%,Mean loss/ppm,f_rep/Hz,Temperature /C,Yokogawa Pressure Calib /Torr,Calculated Pressure /Torr,New Calculated Pressure /Torr,Yokogawa Pressure Offset /Torr,Yokogawa Pressure Read /Torr,dF / MHz,Actual PZT Voltage,Current /mA,Actual Current
37,3/8/2019,9:17:44 AM,0,38,237143507.3,837.8764,237144345.2,237144431.579,805.879156,38.61124052,38.6215288387,38.6830474674,38.693374094,0.021005137,0.054401611,64.27446606,593.2539683,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,0.048024654,-0.436104906,175.0848435,176.829263124
38,3/8/2019,9:17:44 AM,0,39,237143507.3,1039.3455,237144546.6,237144633.049,1007.348945,38.60616071,38.6164463214,38.6779527234,38.6882766298,0.020721715,0.053674633,64.28292332,579.4573643,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,-0.045283854,-0.436104906,175.0848435,176.829263124
39,3/8/2019,9:17:44 AM,0,40,237143507.3,1240.8146,237144748.1,237144834.519,1208.818734,38.60572533,38.6160107094,38.6775160636,38.6878397368,0.021401683,0.055436552,64.28364827,556.7970205,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,0.053690821,-0.436104906,175.0848435,176.829263124
40,3/8/2019,9:17:44 AM,0,41,237143507.3,1442.2837,237144949.6,237145035.989,1410.288523,38.60524285,38.6155279723,38.6770321653,38.6873555801,0.021042278,0.05450627,64.28445167,600.4016064,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,-0.099805087,-0.436104906,175.0848435,176.829263124
41,3/8/2019,9:17:44 AM,0,42,237143507.3,1643.7528,237145151.0,237145237.458,1611.758312,38.60564496,38.6159302966,38.6774354573,38.6877590875,0.02036809,0.052759356,64.28378209,579.4573643,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,-0.037655473,-0.436104906,175.0848435,176.829263124
42,3/8/2019,9:17:44 AM,0,43,237143507.3,1845.2219,237145352.5,237145438.928,1813.228101,38.60718084,38.6174669951,38.6789758523,38.6893003049,0.021168582,0.054830685,64.28122474,598.0,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,-0.044736892,-0.436104906,175.0848435,176.829263124
43,3/8/2019,9:38:24 AM,0,1,237152172.4,-6616.4803,237145556.0,237145640.398,2014.69789,38.59099013,38.6102437363,38.6627375557,38.6820628382,0.020323998,0.052665138,64.3081937,261.1353712,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,0.052132815,3.688190471,180.0848435,165.332081616
44,3/8/2019,9:38:24 AM,0,2,237152172.4,-6415.0112,237145757.4,237145841.868,2216.167679,38.58681141,38.6060608458,38.6585465572,38.6778676491,0.01913535,0.049590389,64.3151579,234.5098039,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,0.147939742,3.688190471,180.0848435,165.332081616
45,3/8/2019,9:38:24 AM,0,3,237152172.4,-6213.5421,237145958.9,237146043.337,2417.637468,38.58800791,38.6072585399,38.6597465728,38.6790688646,0.019592599,0.050773802,64.31316367,239.9678973,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,-0.144276738,3.688190471,180.0848435,165.332081616
46,3/8/2019,9:38:24 AM,0,4,237152172.4,-6012.073,237146160.4,237146244.807,2619.107257,38.58995066,38.6092032288,38.6616950313,38.6810192713,0.020980644,0.054368153,64.30992592,178.2945736,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,0.036630571,3.688190471,180.0848435,165.332081616
