trans_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gpp,global_upper_quanta,global_lower_quanta,local_upper_quanta,local_lower_quanta,gamma0_air,n_gamma0_air,delta0_air,n_delta0_air,SD_gamma_air,n_gamma2_air,SD_delta_air,n_delta2_air,nuVC_air,n_nuVC_air,eta_air,y_air,gamma0_self,n_gamma0_self,delta0_self,n_delta0_self,SD_gamma_self,n_gamma2_self,SD_delta_self,n_delta2_self,nuVC_self,n_nuVC_self,eta_self,y_self
6280916,7,1,13008.08467,4.76E-29,0.0168,2790.8388,61,59,       b      1,       X      1,               , R 29R 29     d,0.0312,0.63,-0.0097,0,0.117223643,0.63,0,0,0,1,0,0,0.034,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280917,7,1,13008.25289,1.86E-28,0.01668,2479.6468,53,51,       b      1,       X      1,               , R 25R 25     d,0.0354,0.63,-0.0093,0,0.117223643,0.63,0,0,0,1,0,0,0.037,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280918,7,1,13008.38203,9.71E-29,0.01674,2629.6432,57,55,       b      1,       X      1,               , R 27R 27     d,0.0332,0.63,-0.0095,0,0.117223643,0.63,0,0,0,1,0,0,0.036,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280919,7,2,13008.76435,2.86E-28,0.02255,1179.8744,57,59,       b      0,       X      0,               , P 29P 29     d,0.0332,0.63,-0.0092,0,0.113492229,0.63,0,0,0,1,0,0,0.035,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280920,7,1,13008.89404,6.13E-28,0.01752,2211.1846,45,45,       b      1,       X      1,               , R 21Q 22     d,0.0398,0.63,-0.0089,0,0.117223643,0.63,0,0,0,1,0,0,0.042,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280921,7,1,13009.88265,3.59E-28,0.01754,2338.6926,49,49,       b      1,       X      1,               , R 23Q 24     d,0.0376,0.63,-0.0089,0,0.117223643,0.63,0,0,0,1,0,0,0.04,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280922,7,3,13009.93452,7.23E-29,0.02452,1131.7993,330,342,       b      0,       X      0,               , P 28P 28     d,0.0341,0.63,-0.0091,0,0.115323868,0.63,0,0,0,1,0,0,0.036,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280923,7,1,13010.31996,5.03E-29,0.01756,2788.6035,61,61,       b      1,       X      1,               , R 29Q 30     d,0.0312,0.63,-0.0093,0,0.117223643,0.63,0,0,0,1,0,0,0.034,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280924,7,1,13010.45235,1.98E-28,0.01755,2477.4473,53,53,       b      1,       X      1,               , R 25Q 26     d,0.0354,0.63,-0.0091,0,0.117223643,0.63,0,0,0,1,0,0,0.037,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280925,7,2,13010.52902,2.76E-28,0.02158,1178.1097,57,57,       b      0,       X      0,               , P 29Q 28     d,0.0332,0.63,-0.0091,0,0.113492229,0.63,0,0,0,1,0,0,0.035,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280926,7,1,13010.59945,1.03E-28,0.01756,2627.4258,57,57,       b      1,       X      1,               , R 27Q 28     d,0.0332,0.63,-0.0091,0,0.117223643,0.63,0,0,0,1,0,0,0.04,0.75,-0.0045529,3.00E-05,0.13,0.75,0,0,0,1,0,0
6297184,7,1,13010.81,2.28E-25,0.02306,1085.2,53,55,       b      0,       X      0,               , P 27P 27     d,0.03,0.63,-0.011179,5.00E-05,0.13,0.63,0,0,0,1,0,0.002193,0.04,0.75,-0.0045529,3.00E-05,0.13,0.75,0,0,0,1,0,0.002193
6280928,7,3,13011.70201,6.96E-29,0.02341,1130.0318,330,330,       b      0,       X      0,               , P 28Q 27     d,0.0341,0.63,-0.0091,0,0.115323868,0.63,0,0,0,1,0,0,0.036,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6297185,7,1,13012.58,2.19E-25,0.02197,1083.43,53,53,       b      0,       X      0,               , P 27Q 26     d,0.04,0.63,-0.010799,5.00E-05,0.09,0.63,0,0,0,1,0,0.002034,0.04,0.75,-0.0038729,3.00E-05,0.09,0.75,0,0,0,1,0,0.002034
6280930,7,1,13013.02394,2.97E-30,3.00E-07,1082.9917,53,57,       b      0,       X      0,               , P 27O 28     q,0.0332,0.63,-0.0091,0,0.117223643,0.63,0,0,0,1,0,0,0.036,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280931,7,2,13013.933,4.04E-28,0.02259,1101.54,55,57,       b      0,       X      0,               , P 28P 28     d,0.0341,0.63,-0.0091,0,0.113492229,0.63,0,0,0,1,0,0,0.036,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280932,7,1,13014.29578,1.63E-29,7.62E-08,260.6824,21,25,       b      0,       X      0,               , N 13O 12     q,0.0468,0.72,-0.0074,0,0.088709784,0.72,0,0,0,1,0,0,0.047,0.72,0,0,0.093333333,0.72,0,0,0,1,0,0
6280933,7,3,13015.15536,1.02E-28,0.02457,1054.061,318,330,       b      0,       X      0,               , P 27P 27     d,0.0355,0.63,-0.0091,0,0.115323868,0.63,0,0,0,1,0,0,0.037,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280934,7,2,13015.70589,3.89E-28,0.02159,1099.7671,55,55,       b      0,       X      0,               , P 28Q 27     d,0.0341,0.63,-0.0091,0,0.113492229,0.63,0,0,0,1,0,0,0.036,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280935,7,3,13016.93135,9.79E-29,0.02343,1052.285,318,318,       b      0,       X      0,               , P 27Q 26     d,0.0355,0.63,-0.0091,0,0.115323868,0.63,0,0,0,1,0,0,0.037,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280936,7,2,13019.01259,5.63E-28,0.02264,1025.8792,53,55,       b      0,       X      0,               , P 27P 27     d,0.0355,0.63,-0.0091,0,0.113492229,0.63,0,0,0,1,0,0,0.037,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280937,7,3,13020.28483,1.41E-28,0.02464,979.072,306,318,       b      0,       X      0,               , P 26P 26     d,0.0365,0.63,-0.0091,0,0.115323868,0.63,0,0,0,1,0,0,0.038,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280938,7,2,13020.79373,5.41E-28,0.0216,1024.0981,53,53,       b      0,       X      0,               , P 27Q 26     d,0.0355,0.63,-0.0091,0,0.113492229,0.63,0,0,0,1,0,0,0.037,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6297186,7,1,13021.29,4.41E-25,0.02318,933.53,49,51,       b      0,       X      0,               , P 25P 25     d,0.04,0.63,-0.010477,5.00E-05,0.15,0.63,0,0,0,1,0,0.001751,0.04,0.75,-0.0040617,3.00E-05,0.15,0.75,0,0,0,1,0,0.001751
6280940,7,3,13022.06934,1.36E-28,0.02344,977.2875,306,306,       b      0,       X      0,               , P 26Q 25     d,0.0365,0.63,-0.0089,0,0.115323868,0.63,0,0,0,1,0,0,0.038,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6297187,7,1,13023.08,4.23E-25,0.022,931.74,49,49,       b      0,       X      0,               , P 25Q 24     d,0.04,0.63,-0.011577,5.00E-05,0.12,0.63,0,0,0,1,0,0.001638,0.04,0.75,-0.0037917,3.00E-05,0.12,0.75,0,0,0,1,0,0.001638
6280942,7,1,13023.48451,5.78E-30,3.02E-07,931.3372,49,53,       b      0,       X      0,               , P 25O 26     q,0.0354,0.63,-0.0091,0,0.117223643,0.63,0,0,0,1,0,0,0.037,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280943,7,2,13024.00335,7.73E-28,0.0227,952.895,51,53,       b      0,       X      0,               , P 26P 26     d,0.0365,0.63,-0.0091,0,0.113492229,0.63,0,0,0,1,0,0,0.038,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280944,7,3,13025.32314,1.93E-28,0.0247,906.8353,294,306,       b      0,       X      0,               , P 25P 25     d,0.0375,0.63,-0.0089,0,0.115323868,0.63,0,0,0,1,0,0,0.039,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280945,7,2,13025.79275,7.43E-28,0.02162,951.1056,51,51,       b      0,       X      0,               , P 26Q 25     d,0.0365,0.63,-0.0089,0,0.113492229,0.63,0,0,0,1,0,0,0.038,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280946,7,3,13027.11621,1.85E-28,0.02346,905.0422,294,294,       b      0,       X      0,               , P 25Q 24     d,0.0375,0.63,-0.0089,0,0.115323868,0.63,0,0,0,1,0,0,0.039,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280947,7,2,13028.90545,1.05E-27,0.02274,882.5901,49,51,       b      0,       X      0,               , P 25P 25     d,0.0375,0.63,-0.0089,0,0.113492229,0.63,0,0,0,1,0,0,0.039,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280948,7,3,13030.27048,2.60E-28,0.02477,837.3536,282,294,       b      0,       X      0,               , P 24P 24     d,0.0389,0.63,-0.0089,0,0.115323868,0.63,0,0,0,1,0,0,0.04,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280949,7,2,13030.70317,1.00E-27,0.02163,880.7923,49,49,       b      0,       X      0,               , P 25Q 24     d,0.0375,0.63,-0.0089,0,0.113492229,0.63,0,0,0,1,0,0,0.039,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6297188,7,1,13031.39,8.05E-25,0.02331,793.21,45,47,       b      0,       X      0,               , P 23P 23     d,0.04,0.57,-0.010337,3.10E-05,0.18,0.57,0,0,0,1,0,0.001455,0.04,0.77,-0.0032812,5.90E-05,0.18,0.77,0,0,0,1,0,0.001455
6280951,7,3,13032.07215,2.49E-28,0.02347,835.552,282,282,       b      0,       X      0,               , P 24Q 23     d,0.0389,0.63,-0.0089,0,0.115323868,0.63,0,0,0,1,0,0,0.04,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6297189,7,1,13033.2,7.67E-25,0.02203,791.4,45,45,       b      0,       X      0,               , P 23Q 22     d,0.04,0.69,-0.010116,4.90E-05,0.13,0.69,0,0,0,1,0,0.001368,0.04,0.76,-0.0031413,5.90E-05,0.13,0.76,0,0,0,1,0,0.001368
6280953,7,1,13033.2948,1.97E-29,8.05E-08,188.8531,17,21,       b      0,       X      0,               , N 11O 10     q,0.0478,0.73,-0.0075,0,0.085541577,0.73,0,0,0,1,0,0,0.048,0.73,0,0,0.09,0.73,0,0,0,1,0,0
6280954,7,1,13033.56974,1.06E-29,3.06E-07,791.0331,45,49,       b      0,       X      0,               , P 23O 24     q,0.0376,0.63,-0.0089,0,0.117223643,0.63,0,0,0,1,0,0,0.039,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280955,7,2,13033.7191,1.40E-27,0.02281,814.9672,47,49,       b      0,       X      0,               , P 24P 24     d,0.0389,0.63,-0.0089,0,0.113492229,0.63,0,0,0,1,0,0,0.04,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280956,7,3,13035.12704,3.45E-28,0.02484,770.6298,270,282,       b      0,       X      0,               , P 23P 23     d,0.0399,0.63,-0.0089,0,0.115323868,0.63,0,0,0,1,0,0,0.04,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280957,7,2,13035.52517,1.34E-27,0.02164,813.1611,47,47,       b      0,       X      0,               , P 24Q 23     d,0.0389,0.63,-0.0089,0,0.113492229,0.63,0,0,0,1,0,0,0.04,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280958,7,3,13036.93736,3.30E-28,0.02349,768.8195,270,270,       b      0,       X      0,               , P 23Q 22     d,0.0399,0.63,-0.0089,0,0.115323868,0.63,0,0,0,1,0,0,0.04,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280959,7,2,13038.44447,1.84E-27,0.02288,750.0289,45,47,       b      0,       X      0,               , P 23P 23     d,0.0399,0.63,-0.0089,0,0.113492229,0.63,0,0,0,1,0,0,0.04,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280960,7,3,13039.89298,4.52E-28,0.02491,706.6664,258,270,       b      0,       X      0,               , P 22P 22     d,0.0409,0.63,-0.0089,0,0.115323868,0.63,0,0,0,1,0,0,0.041,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280961,7,2,13040.25893,1.76E-27,0.02165,748.2144,45,45,       b      0,       X      0,               , P 23Q 22     d,0.0399,0.63,-0.0089,0,0.113492229,0.63,0,0,0,1,0,0,0.04,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6297190,7,1,13041.12,1.38E-24,0.02347,664.26,41,43,       b      0,       X      0,               , P 21P 21     d,0.04,0.72,-0.009026,3.50E-05,0.16,0.72,0,0,0,1,0,0.001239,0.04,0.78,-0.003051,5.60E-05,0.16,0.78,0,0,0,1,0,0.001239
6280963,7,3,13041.71201,4.30E-28,0.02351,704.8474,258,258,       b      0,       X      0,               , P 22Q 21     d,0.0409,0.63,-0.0089,0,0.115323868,0.63,0,0,0,1,0,0,0.041,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6297191,7,1,13042.95,1.31E-24,0.02206,662.44,41,41,       b      0,       X      0,               , P 21Q 20     d,0.04,0.61,-0.010047,2.30E-05,0.11,0.61,0,0,0,1,0,0.001166,0.04,0.82,-0.0029611,4.80E-05,0.11,0.82,0,0,0,1,0,0.001166
6280965,7,2,13043.08171,2.39E-27,0.02295,687.7777,43,45,       b      0,       X      0,               , P 22P 22     d,0.0409,0.63,-0.0089,0,0.113492229,0.63,0,0,0,1,0,0,0.041,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280966,7,1,13043.28109,1.82E-29,3.08E-07,662.102,41,45,       b      0,       X      0,               , P 21O 22     q,0.0398,0.63,-0.0089,0,0.117223643,0.63,0,0,0,1,0,0,0.041,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280967,7,3,13044.56848,5.81E-28,0.025,645.466,246,258,       b      0,       X      0,               , P 21P 21     d,0.0416,0.63,-0.0089,0,0.115323868,0.63,0,0,0,1,0,0,0.042,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280968,7,2,13044.90462,2.27E-27,0.02167,685.9548,43,43,       b      0,       X      0,               , P 22Q 21     d,0.0409,0.63,-0.0089,0,0.113492229,0.63,0,0,0,1,0,0,0.041,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280969,7,3,13046.39626,5.52E-28,0.02353,643.6382,246,246,       b      0,       X      0,               , P 21Q 20     d,0.0416,0.64,-0.0085,0,0.112207006,0.64,0,0,0,1,0,0,0.042,0.64,0,0,0.12,0.64,0,0,0,1,0,0
6280970,7,2,13047.63098,3.05E-27,0.02303,628.216,41,43,       b      0,       X      0,               , P 21P 21     d,0.0416,0.63,-0.0089,0,0.113492229,0.63,0,0,0,1,0,0,0.042,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280971,7,3,13049.15366,7.37E-28,0.02509,587.0309,234,246,       b      0,       X      0,               , P 20P 20     d,0.0426,0.64,-0.0085,0,0.112207006,0.64,0,0,0,1,0,0,0.042,0.64,0,0,0.12,0.64,0,0,0,1,0,0
6280972,7,2,13049.46239,2.89E-27,0.02169,626.3846,41,41,       b      0,       X      0,               , P 21Q 20     d,0.0416,0.64,-0.0085,0,0.110424871,0.64,0,0,0,1,0,0,0.042,0.64,0,0,0.12,0.64,0,0,0,1,0,0
6297192,7,1,13050.48,2.22E-24,0.02366,546.7,37,39,       b      0,       X      0,               , P 19P 19     d,0.04,0.75,-0.008536,3.30E-05,0.13,0.75,0,0,0,1,0,0.001064,0.04,0.79,-0.002538,5.70E-05,0.13,0.79,0,0,0,1,0,0.001064
6280974,7,3,13050.99028,6.97E-28,0.02354,585.1943,234,234,       b      0,       X      0,               , P 20Q 19     d,0.0426,0.64,-0.0083,0,0.112207006,0.64,0,0,0,1,0,0,0.042,0.64,0,0,0.12,0.64,0,0,0,1,0,0
6280975,7,1,13051.93672,2.19E-29,8.75E-08,128.492,13,17,       b      0,       X      0,               , N  9O  8     q,0.0491,0.74,-0.0073,0,0.082373371,0.74,0,0,0,1,0,0,0.049,0.74,0,0,0.086666667,0.74,0,0,0,1,0,0
6280976,7,2,13052.09241,3.83E-27,0.02312,571.346,39,41,       b      0,       X      0,               , P 20P 20     d,0.0426,0.64,-0.0085,0,0.110424871,0.64,0,0,0,1,0,0,0.042,0.64,0,0,0.12,0.64,0,0,0,1,0,0
6297193,7,1,13052.32,2.09E-24,0.02209,544.86,37,37,       b      0,       X      0,               , P 19Q 18     d,0.04,0.73,-0.009236,2.80E-05,0.13,0.73,0,0,0,1,0,0.000998,0.04,0.78,-0.002338,5.50E-05,0.13,0.78,0,0,0,1,0,0.000998
6280978,7,1,13052.61983,2.94E-29,3.12E-07,544.5651,37,41,       b      0,       X      0,               , P 19O 20     q,0.0417,0.64,-0.0085,0,0.114055436,0.64,0,0,0,1,0,0,0.042,0.64,0,0,0.12,0.64,0,0,0,1,0,0
6280979,7,3,13053.64867,9.19E-28,0.0252,531.3635,222,234,       b      0,       X      0,               , P 19P 19     d,0.0433,0.64,-0.0083,0,0.112207006,0.64,0,0,0,1,0,0,0.043,0.64,0,0,0.12,0.64,0,0,0,1,0,0
6280980,7,2,13053.93239,3.63E-27,0.02171,569.5061,39,39,       b      0,       X      0,               , P 20Q 19     d,0.0426,0.64,-0.0083,0,0.110424871,0.64,0,0,0,1,0,0,0.042,0.64,0,0,0.12,0.64,0,0,0,1,0,0
6280981,7,3,13055.49421,8.67E-28,0.02356,529.518,222,222,       b      0,       X      0,               , P 19Q 18     d,0.0433,0.65,-0.0078,0,0.109090145,0.65,0,0,0,1,0,0,0.043,0.65,0,0,0.116666667,0.65,0,0,0,1,0,0
6280982,7,2,13056.46613,4.75E-27,0.02321,517.17,37,39,       b      0,       X      0,               , P 19P 19     d,0.0433,0.64,-0.0083,0,0.110424871,0.64,0,0,0,1,0,0,0.043,0.64,0,0,0.12,0.64,0,0,0,1,0,0
6280983,7,3,13058.05363,1.13E-27,0.02531,478.466,210,222,       b      0,       X      0,               , P 18P 18     d,0.0439,0.65,-0.0078,0,0.109090145,0.65,0,0,0,1,0,0,0.044,0.65,0,0,0.116666667,0.65,0,0,0,1,0,0
6280984,7,2,13058.31475,4.48E-27,0.02173,515.3214,37,37,       b      0,       X      0,               , P 19Q 18     d,0.0433,0.65,-0.0078,0,0.107357514,0.65,0,0,0,1,0,0,0.043,0.65,0,0,0.116666667,0.65,0,0,0,1,0,0
6297194,7,1,13059.47,3.34E-24,0.02388,440.56,33,35,       b      0,       X      0,               , P 17P 17     d,0.05,0.71,-0.008846,2.70E-05,0.13,0.71,0,0,0,1,0,0.000908,0.04,0.8,-0.002138,5.60E-05,0.13,0.8,0,0,0,1,0,0.000908
6280986,7,3,13059.90818,1.06E-27,0.02358,476.6115,210,210,       b      0,       X      0,               , P 18Q 17     d,0.0439,0.65,-0.0075,0,0.109090145,0.65,0,0,0,1,0,0,0.044,0.65,0,0,0.116666667,0.65,0,0,0,1,0,0
6280987,7,2,13060.75226,5.79E-27,0.02332,465.69,35,37,       b      0,       X      0,               , P 18P 18     d,0.0439,0.65,-0.0078,0,0.107357514,0.65,0,0,0,1,0,0,0.044,0.65,0,0,0.116666667,0.65,0,0,0,1,0,0
6297195,7,1,13061.33,3.13E-24,0.02213,438.7,33,33,       b      0,       X      0,               , P 17Q 16     d,0.04,0.78,-0.008976,2.40E-05,0.11,0.78,0,0,0,1,0,0.000844,0.04,0.78,-0.001998,5.50E-05,0.11,0.78,0,0,0,1,0,0.000844
6280989,7,1,13061.58694,4.44E-29,3.16E-07,438.4413,33,37,       b      0,       X      0,               , P 17O 18     q,0.0434,0.65,-0.0078,0,0.11088723,0.65,0,0,0,1,0,0,0.043,0.65,0,0,0.116666667,0.65,0,0,0,1,0,0
6280990,7,3,13062.36864,1.36E-27,0.02544,428.3404,198,210,       b      0,       X      0,               , P 17P 17     d,0.0446,0.65,-0.0075,0,0.109090145,0.65,0,0,0,1,0,0,0.044,0.65,0,0,0.116666667,0.65,0,0,0,1,0,0
6280991,7,2,13062.60961,5.45E-27,0.02175,463.8327,35,35,       b      0,       X      0,               , P 18Q 17     d,0.0439,0.65,-0.0075,0,0.107357514,0.65,0,0,0,1,0,0,0.044,0.65,0,0,0.116666667,0.65,0,0,0,1,0,0
6280992,7,3,13064.23231,1.28E-27,0.02361,426.4768,198,198,       b      0,       X      0,               , P 17Q 16     d,0.0446,0.65,-0.0074,0,0.109090145,0.65,0,0,0,1,0,0,0.044,0.65,0,0,0.116666667,0.65,0,0,0,1,0,0
6280993,7,2,13064.95089,6.95E-27,0.02344,416.908,33,35,       b      0,       X      0,               , P 17P 17     d,0.0446,0.65,-0.0075,0,0.107357514,0.65,0,0,0,1,0,0,0.044,0.65,0,0,0.116666667,0.65,0,0,0,1,0,0
6280994,7,3,13066.5938,1.62E-27,0.02558,380.9887,186,198,       b      0,       X      0,               , P 16P 16     d,0.0453,0.65,-0.0074,0,0.109090145,0.65,0,0,0,1,0,0,0.045,0.65,0,0,0.116666667,0.65,0,0,0,1,0,0
6280995,7,2,13066.81708,6.51E-27,0.02177,415.0418,33,33,       b      0,       X      0,               , P 17Q 16     d,0.0446,0.65,-0.0074,0,0.107357514,0.65,0,0,0,1,0,0,0.044,0.65,0,0,0.116666667,0.65,0,0,0,1,0,0
6297196,7,1,13068.08,4.71E-24,0.02417,345.85,29,31,       b      0,       X      0,               , P 15P 15     d,0.05,0.79,-0.007895,2.90E-05,0.11,0.79,0,0,0,1,0,0.000755,0.05,0.79,-0.001857,5.50E-05,0.11,0.79,0,0,0,1,0,0.000755
6280997,7,3,13068.46672,1.51E-27,0.02364,379.1158,186,186,       b      0,       X      0,               , P 16Q 15     d,0.0453,0.66,-0.0074,0,0.105973284,0.66,0,0,0,1,0,0,0.045,0.66,0,0,0.113333333,0.66,0,0,0,1,0,0
6280998,7,2,13069.06212,8.21E-27,0.02356,370.8258,31,33,       b      0,       X      0,               , P 16P 16     d,0.0453,0.65,-0.0074,0,0.107357514,0.65,0,0,0,1,0,0,0.045,0.65,0,0,0.116666667,0.65,0,0,0,1,0,0
6297197,7,1,13069.96,4.36E-24,0.02218,343.97,29,29,       b      0,       X      0,               , P 15Q 14     d,0.05,0.78,-0.008506,2.60E-05,0.1,0.78,0,0,0,1,0,0.000687,0.05,0.79,-0.001688,5.60E-05,0.1,0.79,0,0,0,1,0,0.000687
6281000,7,1,13070.1832,6.27E-29,3.21E-07,343.7481,29,33,       b      0,       X      0,               , P 15O 16     q,0.0447,0.65,-0.0074,0,0.11088723,0.65,0,0,0,1,0,0,0.044,0.65,0,0,0.116666667,0.65,0,0,0,1,0,0
6281001,7,1,13070.22159,2.18E-29,9.95E-08,79.607,9,13,       b      0,       X      0,               , N  7O  6     q,0.0507,0.73,-0.0071,0,0.085541577,0.73,0,0,0,1,0,0,0.051,0.73,0,0,0.09,0.73,0,0,0,1,0,0
6281002,7,3,13070.7292,1.89E-27,0.02575,336.4128,174,186,       b      0,       X      0,               , P 15P 15     d,0.046,0.66,-0.0074,0,0.105973284,0.66,0,0,0,1,0,0,0.045,0.66,0,0,0.113333333,0.66,0,0,0,1,0,0
6281003,7,2,13070.93726,7.66E-27,0.0218,368.9507,31,31,       b      0,       X      0,               , P 16Q 15     d,0.0453,0.66,-0.0074,0,0.104290156,0.66,0,0,0,1,0,0,0.045,0.66,0,0,0.113333333,0.66,0,0,0,1,0,0
6281004,7,3,13072.61153,1.76E-27,0.02366,334.5305,174,174,       b      0,       X      0,               , P 15Q 14     d,0.046,0.67,-0.0074,0,0.102856423,0.67,0,0,0,1,0,0,0.045,0.67,0,0,0.11,0.67,0,0,0,1,0,0
6281005,7,2,13073.08602,9.53E-27,0.02371,327.4452,29,31,       b      0,       X      0,               , P 15P 15     d,0.046,0.66,-0.0074,0,0.104290156,0.66,0,0,0,1,0,0,0.045,0.66,0,0,0.113333333,0.66,0,0,0,1,0,0
6281006,7,3,13074.77489,2.17E-27,0.02592,294.6144,162,174,       b      0,       X      0,               , P 14P 14     d,0.0463,0.67,-0.0074,0,0.102856423,0.67,0,0,0,1,0,0,0.046,0.67,0,0,0.11,0.67,0,0,0,1,0,0
6281007,7,2,13074.97027,8.85E-27,0.02182,325.561,29,29,       b      0,       X      0,               , P 15Q 14     d,0.046,0.67,-0.0074,0,0.101222799,0.67,0,0,0,1,0,0,0.045,0.67,0,0,0.11,0.67,0,0,0,1,0,0
6297198,7,1,13076.33,6.17E-24,0.02454,262.58,25,27,       b      0,       X      0,               , P 13P 13     d,0.05,0.79,-0.007705,2.90E-05,0.1,0.79,0,0,0,1,0,0.00059,0.05,0.8,-0.001398,5.70E-05,0.1,0.8,0,0,0,1,0,0.00059
6281009,7,3,13076.66683,2.01E-27,0.02369,292.7225,162,162,       b      0,       X      0,               , P 14Q 13     d,0.0463,0.7,-0.0074,0,0.093505839,0.7,0,0,0,1,0,0,0.046,0.7,0,0,0.1,0.7,0,0,0,1,0,0
6281010,7,2,13077.02267,1.09E-26,0.02389,286.7679,27,29,       b      0,       X      0,               , P 14P 14     d,0.0463,0.67,-0.0074,0,0.101222799,0.67,0,0,0,1,0,0,0.046,0.67,0,0,0.11,0.67,0,0,0,1,0,0
6297199,7,1,13078.23,5.64E-24,0.02224,260.68,25,25,       b      0,       X      0,               , P 13Q 12     d,0.05,0.81,-0.008406,1.90E-05,0.09,0.81,0,0,0,1,0,0.000511,0.05,0.79,-0.001438,5.60E-05,0.09,0.79,0,0,0,1,0,0.000511
6281012,7,1,13078.4091,8.24E-29,3.27E-07,260.5009,25,29,       b      0,       X      0,               , P 13O 14     q,0.0458,0.67,-0.0074,0,0.104550816,0.67,0,0,0,1,0,0,0.046,0.67,0,0,0.11,0.67,0,0,0,1,0,0
6281013,7,3,13078.73096,2.45E-27,0.02614,255.5952,150,162,       b      0,       X      0,               , P 13P 13     d,0.047,0.7,-0.0074,0,0.093505839,0.7,0,0,0,1,0,0,0.046,0.7,0,0,0.1,0.7,0,0,0,1,0,0
6281014,7,2,13078.91621,1.01E-26,0.02185,284.8744,27,27,       b      0,       X      0,               , P 14Q 13     d,0.0463,0.7,-0.0074,0,0.092020726,0.7,0,0,0,1,0,0,0.046,0.7,0,0,0.1,0.7,0,0,0,1,0,0
6281015,7,3,13080.63274,2.25E-27,0.02373,253.6934,150,150,       b      0,       X      0,               , P 13Q 12     d,0.047,0.72,-0.0074,0,0.087272116,0.72,0,0,0,1,0,0,0.046,0.72,0,0,0.093333333,0.72,0,0,0,1,0,0
6281016,7,2,13080.87212,1.22E-26,0.02407,248.7954,25,27,       b      0,       X      0,               , P 13P 13     d,0.047,0.7,-0.0074,0,0.092020726,0.7,0,0,0,1,0,0,0.046,0.7,0,0,0.1,0.7,0,0,0,1,0,0
6281017,7,3,13082.59743,2.72E-27,0.02639,219.3566,138,150,       b      0,       X      0,               , P 12P 12     d,0.0473,0.72,-0.0074,0,0.087272116,0.72,0,0,0,1,0,0,0.047,0.72,0,0,0.093333333,0.72,0,0,0,1,0,0
6281018,7,2,13082.77517,1.12E-26,0.02188,246.8923,25,25,       b      0,       X      0,               , P 13Q 12     d,0.047,0.72,-0.0074,0,0.085886011,0.72,0,0,0,1,0,0,0.046,0.72,0,0,0.093333333,0.72,0,0,0,1,0,0
6297200,7,1,13084.2,7.49E-24,0.02506,190.77,21,23,       b      0,       X      0,               , P 11P 11     d,0.05,0.82,-0.007635,2.40E-05,0.1,0.82,0,0,0,1,0,0.000396,0.05,0.81,-0.001088,5.80E-05,0.1,0.81,0,0,0,1,0,0.000396
