Spectrum Number,Spectrum Name,Wavenumber (cm-1),Pressure (atm),Temperature (K),alpha10^-6 cm^-1,Model10^-6 cm^-1,Residuals10^-6 cm^-1,QF,Background,CIA (cm-1)
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.262056,0.10948164585526315,296.31544811,1.97319303,1.9734887311525815,-0.00029570115258148455,1642.0,1.972761455003627,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.26883,0.10948164585526315,296.31544811,1.971337746,1.9710436337780486,0.0002941122219513037,1642.0,1.9703464934939028,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.275603,0.10948164585526315,296.31544811,1.973686517,1.9730479624536872,0.0006385545463127862,1642.0,1.972378676984612,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.282377,0.10948164585526315,296.31544811,1.970860829,1.9707407857067227,0.00012004329327730545,1642.0,1.970097314143764,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.289151,0.10948164585526315,296.31544811,1.971162481,1.9711384663185274,2.4014681472506183e-05,1642.0,1.9705189630181543,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.295924,0.10948164585526315,296.31544811,1.972084431,1.9722378880306262,-0.00015345703062608074,1642.0,1.9716406772700348,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.302698,0.10948164585526315,296.31544811,1.969096659,1.9698448740320973,-0.0007482150320972103,1642.0,1.9692684378050498,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.309472,0.10948164585526315,296.31544811,1.97092986,1.971845338517804,-0.000915478517804047,1642.0,1.971288288156639,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.316245,0.10948164585526315,296.31544811,1.969064831,1.9694160404447372,-0.0003512094447370995,1642.0,1.968877101869973,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.323019,0.10948164585526315,296.31544811,1.969357619,1.9699860732837438,-0.0006284542837438067,1642.0,1.9694640816380933,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.329793,0.10948164585526315,296.31544811,1.970589816,1.970906556592827,-0.00031674059282704725,1642.0,1.970400436724176,0.0
