 23 6339.736430 1.535E-30 3.600E-06.06620.075  795.46010.74-.007797       5 0 0 05       0 0 0 01                    R 46e     366563243210 9 711    95.0   93.0,18540077,ElecStateLabel=X;v1=5;v2=0;l2=0;v3=0;J=47;r=5;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=46;r=1;parity=+;kronigParity=e,#,-0.009788,0.0662,0.00513,-0.007797,#,#,-0.009788
 22 6339.742942 1.720E-30 2.800E-05.06600.074 1567.93240.74-.007167       4 2 2 01       0 1 1 01                    R 48f     366563243010 9 711   198.0  194.0,18540078,ElecStateLabel=X;v1=4;v2=2;l2=2;v3=0;J=49;r=1;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=48;r=1;parity=-;kronigParity=f,#,-0.052138,0.06585,0.00514,-0.007167,#,#,-0.052138
 21 6339.805068 2.556E-29 1.666E-02.05840.065 3333.47470.68-.009595       4 0 0 13       1 0 0 02                    R 72e     565553342910 9 711   147.0  145.0,17658764,ElecStateLabel=X;v1=4;v2=0;l2=0;v3=1;J=73;r=3;kronigParity=e,ElecStateLabel=X;v1=1;v2=0;l2=0;v3=0;J=72;r=2;parity=+;kronigParity=e,#,-0.018966,0.06022,0.00538,-0.009595,#,#,-0.018966
 24 6339.809497 7.816E-30 6.097E-03.06560.072 1670.56490.74-.008476       3 1 1 12       0 1 1 01                    R 51f     465553243210 9 711   630.0  618.0,18540079,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=52;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=51;r=1;parity=+;kronigParity=f,#,0.0,0.06529,0.00516,-0.008476,#,#,0.0
 21 6339.840262 3.424E-26 1.963E-02.08080.111 1416.27720.68-.005785       4 0 0 12       1 0 0 01                    P  8e     566663342910 9 711    15.0   17.0,17658765,ElecStateLabel=X;v1=4;v2=0;l2=0;v3=1;J=7;r=2;kronigParity=e,ElecStateLabel=X;v1=1;v2=0;l2=0;v3=0;J=8;r=1;parity=+;kronigParity=e,#,-0.003883,0.08222,0.00745,-0.005785,#,#,-0.003883
 24 6339.862085 2.649E-30 6.126E-03.06320.070 1916.41780.72-.008827       3 1 1 12       0 1 1 01                    R 57e     465553243210 9 711   702.0  690.0,18540080,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=58;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=57;r=1;parity=-;kronigParity=e,#,0.0,0.06404,0.00523,-0.008827,#,#,0.0
 26 6339.871157 6.145E-30 1.281E-03.06850.087  375.47320.74-.007065       3 0 0 11       0 0 0 01                    R 31e     366663243210 9 711   780.0  756.0,18540081,ElecStateLabel=X;v1=3;v2=0;l2=0;v3=1;J=32;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=31;r=1;parity=-;kronigParity=e,#,-0.008962,0.0687,0.00549,-0.007065,#,#,-0.008962
 23 6339.874609 3.151E-30 4.869E-06.06650.077  696.18020.74-.006877       4 1 1 01       0 0 0 01                    R 43e     366563243210 9 711    89.0   87.0,18540082,ElecStateLabel=X;v1=4;v2=1;l2=1;v3=0;J=44;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=43;r=1;parity=-;kronigParity=e,#,-0.006057,0.0667,0.00514,-0.006877,#,#,-0.006057
 21 6339.906682 2.637E-29 6.195E-03.07130.095 2870.57770.71-.006705       3 4 4 12       0 4 4 01                    P 22e     466663342910 9 711    43.0   45.0,17658766,ElecStateLabel=X;v1=3;v2=4;l2=4;v3=1;J=21;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=4;l2=4;v3=0;J=22;r=1;parity=+;kronigParity=e,#,0.0,0.072,0.00627,-0.006705,#,#,0.0
 22 6339.962725 5.400E-30 2.002E-05.09500.123  649.25950.69-.003630       1 2 2 22       0 1 1 01                    R  1e     366663243110 9 711    10.0    6.0,18540083,ElecStateLabel=X;v1=1;v2=2;l2=2;v3=2;J=2;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=1;r=1;parity=-;kronigParity=e,#,-0.006226,0.09054,0.00738,-0.00363,#,#,-0.006226
 21 6339.973465 1.532E-28 6.280E-05.07310.099 1521.61540.70-.007372       2 1 1 23       1 0 0 01                    P 18e     536663343010 9 711    35.0   37.0,17658767,ElecStateLabel=X;v1=2;v2=1;l2=1;v3=2;J=17;r=3;kronigParity=e,ElecStateLabel=X;v1=1;v2=0;l2=0;v3=0;J=18;r=1;parity=+;kronigParity=e,#,-0.001357,0.07404,0.00667,-0.007372,#,#,-0.001357
 21 6339.994463 3.991E-30 1.361E-02.07130.095 3439.26910.72-.006262       4 3 3 13       1 3 3 02                    R 22f     466663342910 9 711    47.0   45.0,17658768,ElecStateLabel=X;v1=4;v2=3;l2=3;v3=1;J=23;r=3;kronigParity=f,ElecStateLabel=X;v1=1;v2=3;l2=3;v3=0;J=22;r=2;parity=-;kronigParity=f,#,0.0,0.07121,0.00618,-0.006262,#,#,0.0
 21 6340.024781 4.770E-29 1.972E-02.07970.109 2795.96300.68-.005881       4 2 2 12       1 2 2 01                    P  9f     466663342910 9 711    17.0   19.0,17658769,ElecStateLabel=X;v1=4;v2=2;l2=2;v3=1;J=8;r=2;kronigParity=f,ElecStateLabel=X;v1=1;v2=2;l2=2;v3=0;J=9;r=1;parity=+;kronigParity=f,#,0.0,0.08122,0.00741,-0.005881,#,#,0.0
 21 6340.041449 7.022E-28 6.666E-03.07090.095 2219.79630.72-.006757       3 3 3 12       0 3 3 01                    P 23e     466663342910 9 711    45.0   47.0,17658771,ElecStateLabel=X;v1=3;v2=3;l2=3;v3=1;J=22;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=23;r=1;parity=-;kronigParity=e,#,0.00546,0.07158,0.00618,-0.006757,#,#,0.00546
 21 6340.043246 2.072E-30 4.038E-06.06170.069 2097.54970.72-.008725       3 1 1 12       0 1 1 01                    Q 60f     565553342910 9 711   121.0  121.0,17658770,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=60;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=60;r=1;parity=-;kronigParity=f,#,0.0,0.06358,0.00526,-0.008725,#,#,0.0
 21 6340.043640 1.503E-29 1.663E-02.05810.065 3447.78310.67-.009687       4 0 0 13       1 0 0 02                    R 74e     565553342910 9 711   151.0  149.0,17658772,ElecStateLabel=X;v1=4;v2=0;l2=0;v3=1;J=75;r=3;kronigParity=e,ElecStateLabel=X;v1=1;v2=0;l2=0;v3=0;J=74;r=2;parity=+;kronigParity=e,#,-0.019998,0.05965,0.00539,-0.009687,#,#,-0.019998
 22 6340.057220 9.330E-30 3.614E-07.07310.098  133.44560.70-.005890       2 2 2 11       0 0 0 01                    R 18e     366663243110 9 711    78.0   74.0,18540084,ElecStateLabel=X;v1=2;v2=2;l2=2;v3=1;J=19;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=18;r=1;parity=+;kronigParity=e,#,0.0,0.07306,0.00657,-0.00589,#,#,0.0
 21 6340.064111 1.484E-27 2.053E-02.07870.108 2119.90110.68-.005968       4 1 1 12       1 1 1 01                    P 10f     566663342910 9 711    19.0   21.0,17658773,ElecStateLabel=X;v1=4;v2=1;l2=1;v3=1;J=9;r=2;kronigParity=f,ElecStateLabel=X;v1=1;v2=1;l2=1;v3=0;J=10;r=1;parity=-;kronigParity=f,#,0.0,0.08025,0.00736,-0.005968,#,#,0.0
 21 6340.095687 8.869E-29 1.455E-02.07020.092 2839.72040.73-.006545       4 2 2 13       1 2 2 02                    R 25f     566663342910 9 711    53.0   51.0,17658774,ElecStateLabel=X;v1=4;v2=2;l2=2;v3=1;J=26;r=3;kronigParity=f,ElecStateLabel=X;v1=1;v2=2;l2=2;v3=0;J=25;r=2;parity=+;kronigParity=f,#,0.0,0.07017,0.00591,-0.006545,#,#,0.0
 22 6340.103196 6.440E-30 5.746E-06.07370.099  767.99240.70-.004864       5 0 0 01       0 1 1 01                    R 17e     366663243110 9 711    74.0   70.0,18540085,ElecStateLabel=X;v1=5;v2=0;l2=0;v3=0;J=18;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=17;r=1;parity=-;kronigParity=e,#,0.005822,0.07363,0.00667,-0.004864,#,#,0.005822
 21 6340.120212 1.205E-30 2.959E-02.08850.118 3505.35710.69-.003500       5 1 1 12       2 1 1 01                    R  3e     466663342910 9 711     9.0    7.0,17658775,ElecStateLabel=X;v1=5;v2=1;l2=1;v3=1;J=4;r=2;kronigParity=e,ElecStateLabel=X;v1=2;v2=1;l2=1;v3=0;J=3;r=1;parity=-;kronigParity=e,#,0.0,0.08636,0.00747,-0.0035,#,#,0.0
 21 6340.125642 5.859E-25 7.353E-03.07260.098  815.80320.70-.006547       3 1 1 12       0 1 1 01                    P 19e     666663342910 9 711    37.0   39.0,17658776,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=18;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=19;r=1;parity=-;kronigParity=e,#,0.002172,0.07347,0.00657,-0.006547,#,#,0.002172
 21 6340.153165 1.057E-29 2.185E-04.05720.064 2649.65610.64-.010093       2 2 2 12       0 0 0 01                    R 82e     465553342910 9 711   167.0  165.0,17658777,ElecStateLabel=X;v1=2;v2=2;l2=2;v3=1;J=83;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=82;r=1;parity=+;kronigParity=e,#,0.0,0.05733,0.00537,-0.010093,#,#,0.0
 22 6340.162293 1.510E-30 1.559E-03.06810.086 2335.01070.74-.007255       4 1 1 12       1 1 1 02                    P 33e     366663243110 9 711   130.0  134.0,18540086,ElecStateLabel=X;v1=4;v2=1;l2=1;v3=1;J=32;r=2;kronigParity=e,ElecStateLabel=X;v1=1;v2=1;l2=1;v3=0;J=33;r=2;parity=-;kronigParity=e,#,0.0,0.0688,0.00543,-0.007255,#,#,0.0
 22 6340.187203 4.530E-30 6.297E-07.06750.084  519.55960.74-.008463       1 1 1 22       0 0 0 01                    P 36e     366663243010 9 711   142.0  146.0,18540087,ElecStateLabel=X;v1=1;v2=1;l2=1;v3=2;J=35;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=36;r=1;parity=+;kronigParity=e,#,0.008257,0.06826,0.0053,-0.008463,#,#,0.008257
 21 6340.207041 1.467E-29 1.220E-04.07260.098 2152.32960.70-.007400       2 2 2 23       0 3 3 01                    P 19e     466663342910 9 711    37.0   39.0,17658778,ElecStateLabel=X;v1=2;v2=2;l2=2;v3=2;J=18;r=3;kronigParity=e,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=19;r=1;parity=-;kronigParity=e,#,0.0,0.07347,0.00657,-0.0074,#,#,0.0
 24 6340.208682 2.172E-30 6.113E-03.06270.069 1960.28620.72-.008883       3 1 1 12       0 1 1 01                    R 58e     365553243210 9 711   714.0  702.0,18540088,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=59;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=58;r=1;parity=+;kronigParity=e,#,0.0,0.06381,0.00525,-0.008883,#,#,0.0
 22 6340.235924 2.690E-30 1.184E-05.06700.080 1257.50180.75-.008731       2 0 0 23       0 1 1 01                    R 39e     366663243110 9 711   162.0  158.0,18540089,ElecStateLabel=X;v1=2;v2=0;l2=0;v3=2;J=40;r=3;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=39;r=1;parity=-;kronigParity=e,#,-0.009909,0.06733,0.00519,-0.008731,#,#,-0.009909
 21 6340.252381 8.684E-30 1.656E-02.05790.065 3565.17420.66-.009777       4 0 0 13       1 0 0 02                    R 76e     565553342910 9 711   155.0  153.0,17658779,ElecStateLabel=X;v1=4;v2=0;l2=0;v3=1;J=77;r=3;kronigParity=e,ElecStateLabel=X;v1=1;v2=0;l2=0;v3=0;J=76;r=2;parity=+;kronigParity=e,#,-0.021436,0.05908,0.00539,-0.009777,#,#,-0.021436
 21 6340.253045 1.098E-30 5.988E-03.07310.099 3475.18330.70-.006493       3 5 5 12       0 5 5 01                    P 18f     466663342910 9 711    35.0   37.0,17658780,ElecStateLabel=X;v1=3;v2=5;l2=5;v3=1;J=17;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=5;l2=5;v3=0;J=18;r=1;parity=-;kronigParity=f,#,0.0,0.07404,0.00667,-0.006493,#,#,0.0
 21 6340.275401 2.505E-30 8.681E-04.07700.105 2821.80280.68-.006887       3 1 1 23       1 2 2 01                    P 12e     466663342910 9 711    23.0   25.0,17658781,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=2;J=11;r=3;kronigParity=e,ElecStateLabel=X;v1=1;v2=2;l2=2;v3=0;J=12;r=1;parity=+;kronigParity=e,#,-0.020314,0.07842,0.00723,-0.006887,#,#,-0.020314
 24 6340.278888 6.562E-30 6.084E-03.06530.072 1709.97270.73-.008536       3 1 1 12       0 1 1 01                    R 52f     365553243210 9 711   642.0  630.0,18540090,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=53;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=52;r=1;parity=-;kronigParity=f,#,0.0,0.0651,0.00517,-0.008536,#,#,0.0
 21 6340.296606 9.873E-28 1.563E-02.06770.084 2424.57170.74-.007382       4 1 1 13       1 1 1 02                    R 35e     566663342910 9 711    73.0   71.0,17658782,ElecStateLabel=X;v1=4;v2=1;l2=1;v3=1;J=36;r=3;kronigParity=e,ElecStateLabel=X;v1=1;v2=1;l2=1;v3=0;J=35;r=2;parity=-;kronigParity=e,#,0.0,0.06798,0.0053,-0.007382,#,#,0.0
 23 6340.403176 1.333E-30 3.623E-06.06620.075  830.02010.74-.007860       5 0 0 05       0 0 0 01                    R 47e     366563243210 9 711    97.0   95.0,18540091,ElecStateLabel=X;v1=5;v2=0;l2=0;v3=0;J=48;r=5;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=47;r=1;parity=-;kronigParity=e,#,-0.019079,0.06603,0.00514,-0.00786,#,#,-0.019079
 21 6340.433692 4.932E-30 1.647E-02.05770.064 3685.64600.66-.009865       4 0 0 13       1 0 0 02                    R 78e     465553342910 9 711   159.0  157.0,17658783,ElecStateLabel=X;v1=4;v2=0;l2=0;v3=1;J=79;r=3;kronigParity=e,ElecStateLabel=X;v1=1;v2=0;l2=0;v3=0;J=78;r=2;parity=+;kronigParity=e,#,-0.023607,0.05851,0.00539,-0.009865,#,#,-0.023607
 26 6340.457091 5.611E-30 1.277E-03.06830.086  399.68890.74-.007146       3 0 0 11       0 0 0 01                    R 32e     366663243210 9 711   804.0  780.0,18540092,ElecStateLabel=X;v1=3;v2=0;l2=0;v3=1;J=33;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=32;r=1;parity=+;kronigParity=e,#,-0.009117,0.06851,0.00543,-0.007146,#,#,-0.009117
 21 6340.462302 2.737E-30 3.254E-05.06930.089 2321.76500.73-.005816       5 2 2 02       0 3 3 01                    R 28f     466663342910 9 711    59.0   57.0,17658784,ElecStateLabel=X;v1=5;v2=2;l2=2;v3=0;J=29;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=28;r=1;parity=-;kronigParity=f,#,-0.000575,0.06936,0.00567,-0.005816,#,#,-0.000575
 21 6340.482929 1.994E-26 7.042E-03.07130.095 1533.27970.71-.006705       3 2 2 12       0 2 2 01                    P 22e     566663342910 9 711    43.0   45.0,17658785,ElecStateLabel=X;v1=3;v2=2;l2=2;v3=1;J=21;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=2;l2=2;v3=0;J=22;r=1;parity=+;kronigParity=e,#,0.00512,0.072,0.00627,-0.006705,#,#,0.00512
 24 6340.548781 1.774E-30 6.101E-03.06220.069 2004.90740.72-.008938       3 1 1 12       0 1 1 01                    R 59e     365553243210 9 711   726.0  714.0,18540093,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=60;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=59;r=1;parity=-;kronigParity=e,#,0.0,0.06358,0.00526,-0.008938,#,#,0.0
 21 6340.576165 1.087E-30 7.314E-10.08080.111   28.09510.68-.005119       3 3 3 01       0 0 0 01                    P  8e     566663342910 9 711    15.0   17.0,17658786,ElecStateLabel=X;v1=3;v2=3;l2=3;v3=0;J=7;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=8;r=1;parity=+;kronigParity=e,#,0.0,0.08222,0.00745,-0.005119,#,#,0.0
 21 6340.589207 2.755E-30 1.636E-02.05750.064 3809.19610.65-.009950       4 0 0 13       1 0 0 02                    R 80e     465553342910 9 711   163.0  161.0,17658787,ElecStateLabel=X;v1=4;v2=0;l2=0;v3=1;J=81;r=3;kronigParity=e,ElecStateLabel=X;v1=1;v2=0;l2=0;v3=0;J=80;r=2;parity=+;kronigParity=e,#,-0.027401,0.05792,0.00538,-0.00995,#,#,-0.027401
 21 6340.611910 3.814E-30 1.362E-02.07090.094 3457.32400.72-.006359       4 3 3 13       1 3 3 02                    R 23e     466663342910 9 711    49.0   47.0,17658788,ElecStateLabel=X;v1=4;v2=3;l2=3;v3=1;J=24;r=3;kronigParity=e,ElecStateLabel=X;v1=1;v2=3;l2=3;v3=0;J=23;r=2;parity=-;kronigParity=e,#,0.0,0.07083,0.00608,-0.006359,#,#,0.0
 22 6340.648871 1.160E-29 1.881E-03.06170.069 2078.61110.72-.008513       3 1 1 11       0 1 1 01                    P 60f     365553243110 9 711   238.0  242.0,18540094,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=59;r=1;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=60;r=1;parity=-;kronigParity=f,#,0.0,0.06393,0.00526,-0.008513,#,#,0.0
 21 6340.655098 8.346E-29 1.457E-02.06990.091 2860.09700.73-.006636       4 2 2 13       1 2 2 02                    R 26e     566663342910 9 711    55.0   53.0,17658789,ElecStateLabel=X;v1=4;v2=2;l2=2;v3=1;J=27;r=3;kronigParity=e,ElecStateLabel=X;v1=1;v2=2;l2=2;v3=0;J=26;r=2;parity=+;kronigParity=e,#,0.0,0.06988,0.00582,-0.006636,#,#,0.0
 21 6340.666042 1.113E-29 1.018E-04.06580.073 2382.42160.74-.008465       3 2 2 12       1 0 0 01                    R 50e     566553342910 9 711   103.0  101.0,17658790,ElecStateLabel=X;v1=3;v2=2;l2=2;v3=1;J=51;r=2;kronigParity=e,ElecStateLabel=X;v1=1;v2=0;l2=0;v3=0;J=50;r=1;parity=+;kronigParity=e,#,0.0,0.06548,0.00515,-0.008465,#,#,0.0
 23 6340.686019 2.852E-30 5.045E-06.06640.077  728.54000.74-.006937       4 1 1 01       0 0 0 01                    R 44e     366563243210 9 711    91.0   89.0,18540095,ElecStateLabel=X;v1=4;v2=1;l2=1;v3=0;J=45;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=44;r=1;parity=+;kronigParity=e,#,-0.006286,0.06654,0.00514,-0.006937,#,#,-0.006286
 21 6340.694722 1.886E-28 2.206E-05.06080.068 1522.16110.71-.007385       4 1 1 01       0 0 0 01                    P 62e     465553342910 9 711   123.0  125.0,17658791,ElecStateLabel=X;v1=4;v2=1;l2=1;v3=0;J=61;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=62;r=1;parity=+;kronigParity=e,#,0.005396,0.06346,0.00529,-0.007385,#,#,0.005396
 21 6340.712554 1.086E-27 1.557E-02.06790.084 2398.36040.74-.007305       4 1 1 13       1 1 1 02                    R 34f     566663342910 9 711    71.0   69.0,17658792,ElecStateLabel=X;v1=4;v2=1;l2=1;v3=1;J=35;r=3;kronigParity=f,ElecStateLabel=X;v1=1;v2=1;l2=1;v3=0;J=34;r=2;parity=-;kronigParity=f,#,0.0,0.06815,0.00534,-0.007305,#,#,0.0
 22 6340.718068 5.920E-30 1.580E-05.09050.120  650.82570.70-.003856       1 2 2 22       0 1 1 01                    R  2f     366663243110 9 711    14.0   10.0,18540096,ElecStateLabel=X;v1=1;v2=2;l2=2;v3=2;J=3;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=2;r=1;parity=-;kronigParity=f,#,-0.010688,0.088,0.00744,-0.003856,#,#,-0.010688
 21 6340.720287 1.513E-30 1.623E-02.05720.064 3935.82240.64-.010034       4 0 0 13       1 0 0 02                    R 82e     465553342910 9 711   167.0  165.0,17658793,ElecStateLabel=X;v1=4;v2=0;l2=0;v3=1;J=83;r=3;kronigParity=e,ElecStateLabel=X;v1=1;v2=0;l2=0;v3=0;J=82;r=2;parity=+;kronigParity=e,#,-0.042807,0.05733,0.00537,-0.010034,#,#,-0.042807
 24 6340.743243 5.486E-30 6.071E-03.06500.071 1750.13560.73-.008596       3 1 1 12       0 1 1 01                    R 53f     365553243210 9 711   654.0  642.0,18540097,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=54;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=53;r=1;parity=+;kronigParity=f,#,0.0,0.06489,0.00518,-0.008596,#,#,0.0
 21 6340.783865 2.751E-29 6.233E-03.07170.096 2853.28810.71-.006653       3 4 4 12       0 4 4 01                    P 21f     466663342910 9 711    41.0   43.0,17658794,ElecStateLabel=X;v1=3;v2=4;l2=4;v3=1;J=20;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=4;l2=4;v3=0;J=21;r=1;parity=+;kronigParity=f,#,0.0,0.07245,0.00637,-0.006653,#,#,0.0
 21 6340.858129 1.386E-27 2.063E-02.07970.109 2111.99170.68-.005881       4 1 1 12       1 1 1 01                    P  9e     566663342910 9 711    17.0   19.0,17658795,ElecStateLabel=X;v1=4;v2=1;l2=1;v3=1;J=8;r=2;kronigParity=e,ElecStateLabel=X;v1=1;v2=1;l2=1;v3=0;J=9;r=1;parity=-;kronigParity=e,#,0.0,0.08122,0.00741,-0.005881,#,#,0.0
 21 6340.866945 4.347E-29 1.969E-02.08080.111 2788.91550.68-.005785       4 2 2 12       1 2 2 01                    P  8e     466663342910 9 711    15.0   17.0,17658796,ElecStateLabel=X;v1=4;v2=2;l2=2;v3=1;J=7;r=2;kronigParity=e,ElecStateLabel=X;v1=1;v2=2;l2=2;v3=0;J=8;r=1;parity=+;kronigParity=e,#,0.0,0.08222,0.00745,-0.005785,#,#,0.0
 21 6340.868073 1.535E-30 3.133E-02.08660.116 3508.50670.69-.003737       5 1 1 12       2 1 1 01                    R  4f     466663342910 9 711    11.0    9.0,17658797,ElecStateLabel=X;v1=5;v2=1;l2=1;v3=1;J=5;r=2;kronigParity=f,ElecStateLabel=X;v1=2;v2=1;l2=1;v3=0;J=4;r=1;parity=-;kronigParity=f,#,0.0,0.08508,0.00749,-0.003737,#,#,0.0
 22 6340.876497 4.600E-29 1.031E-03.08080.109 1293.97290.68-.004531       4 0 0 12       1 0 0 02                    R  8e     366663243110 9 711    38.0   34.0,18540098,ElecStateLabel=X;v1=4;v2=0;l2=0;v3=1;J=9;r=2;kronigParity=e,ElecStateLabel=X;v1=1;v2=0;l2=0;v3=0;J=8;r=2;parity=+;kronigParity=e,#,0.006703,0.08083,0.00741,-0.004531,#,#,0.006703
 24 6340.882409 1.443E-30 6.087E-03.06170.069 2050.28130.71-.008992       3 1 1 12       0 1 1 01                    R 60e     365553243210 9 711   738.0  726.0,18540099,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=61;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=60;r=1;parity=+;kronigParity=e,#,0.0,0.06335,0.00527,-0.008992,#,#,0.0
 27 6340.898973 1.380E-30 2.187E-04.06990.092  243.41350.73-.006909       3 0 0 11       0 0 0 01                    P 26e     366663243110 9 711    51.0   53.0,18540100,ElecStateLabel=X;v1=3;v2=0;l2=0;v3=1;J=25;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=26;r=1;parity=+;kronigParity=e,#,0.0,0.07052,0.00591,-0.006909,#,#,0.0
 22 6340.907660 1.500E-29 4.511E-03.06640.077 2141.23340.74-.007785       4 0 0 11       1 0 0 01                    P 44e     366563243110 9 711   174.0  178.0,18540101,ElecStateLabel=X;v1=4;v2=0;l2=0;v3=1;J=43;r=1;kronigParity=e,ElecStateLabel=X;v1=1;v2=0;l2=0;v3=0;J=44;r=1;parity=+;kronigParity=e,#,0.00678,0.06698,0.00514,-0.007785,#,#,0.00678
 21 6340.959488 7.341E-28 6.683E-03.07130.095 2201.75370.71-.006705       3 3 3 12       0 3 3 01                    P 22f     466663342910 9 711    43.0   45.0,17658798,ElecStateLabel=X;v1=3;v2=3;l2=3;v3=1;J=21;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=22;r=1;parity=-;kronigParity=f,#,0.005221,0.072,0.00627,-0.006705,#,#,0.005221
 22 6341.004237 2.090E-30 1.192E-05.06680.079 1320.70880.75-.008889       2 0 0 23       0 1 1 01                    R 41e     366563243110 9 711   170.0  166.0,18540102,ElecStateLabel=X;v1=2;v2=0;l2=0;v3=2;J=42;r=3;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=41;r=1;parity=-;kronigParity=e,#,-0.011436,0.06702,0.00516,-0.008889,#,#,-0.011436
 21 6341.026103 6.320E-30 2.397E-04.05700.064 2779.36870.64-.010176       2 2 2 12       0 0 0 01                    R 84e     465553342910 9 711   171.0  169.0,17658799,ElecStateLabel=X;v1=2;v2=2;l2=2;v3=1;J=85;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=84;r=1;parity=+;kronigParity=e,#,0.0,0.05674,0.00536,-0.010176,#,#,0.0
 21 6341.029008 2.694E-30 3.460E-05.06900.088 2344.50930.74-.005892       5 2 2 02       0 3 3 01                    R 29e     466663342910 9 711    61.0   59.0,17658800,ElecStateLabel=X;v1=5;v2=2;l2=2;v3=0;J=30;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=29;r=1;parity=-;kronigParity=e,#,-0.006228,0.06912,0.00561,-0.005892,#,#,-0.006228
 26 6341.038272 5.100E-30 1.273E-03.06810.085  424.66020.74-.007226       3 0 0 11       0 0 0 01                    R 33e     366663243210 9 711   828.0  804.0,18540103,ElecStateLabel=X;v1=3;v2=0;l2=0;v3=1;J=34;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=33;r=1;parity=-;kronigParity=e,#,-0.009393,0.06832,0.00538,-0.007226,#,#,-0.009393
 23 6341.067083 1.152E-30 3.642E-06.06600.074  865.31330.74-.007921       5 0 0 05       0 0 0 01                    R 48e     366563243210 9 711    99.0   97.0,18540104,ElecStateLabel=X;v1=5;v2=0;l2=0;v3=0;J=49;r=5;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=48;r=1;parity=+;kronigParity=e,#,-0.018441,0.06585,0.00514,-0.007921,#,#,-0.018441
