,molec_id,local_iso_id,elower,nu,nu_err,nu_vary,sw,sw_err,sw_vary,sw_scale_factor,gamma0_air,gamma0_air_err,gamma0_air_vary,n_gamma0_air,delta0_air,delta0_air_err,delta0_air_vary,n_delta0_air,nuVC_air,nuVC_air_err,nuVC_air_vary,n_nuVC_air,SD_gamma_air,SD_gamma_air_err,SD_gamma_air_vary,n_gamma2_air,SD_delta_air,SD_delta_air_err,SD_delta_air_vary,n_delta2_air,eta_air,eta_air_err,eta_air_vary,y_air,y_air_err,y_air_vary,n_y_air
81,7,1,1083.43,13012.58,0,False,0.219,0,False,1e-24,0.04,0,False,0.63,-0.010799,0,False,5e-05,0,0,False,1,0.09,0,False,0.63,0,0,False,0,0,0,False,0.002034,0,False,5.497748903
82,7,1,1082.9917,13013.02394,0,False,2.97e-06,0,False,1e-24,0.0332,0,False,0.63,-0.0091,0,False,0.0,0,0,False,1,0.117223643,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
83,7,2,1101.54,13013.933,0,False,0.000404,0,False,1e-24,0.0341,0,False,0.63,-0.0091,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
84,7,1,260.6824,13014.29578,0,False,1.6300000000000003e-05,0,False,1e-24,0.0468,0,False,0.72,-0.0074,0,False,0.0,0,0,False,1,0.088709784,0,False,0.72,0,0,False,0,0,0,False,0.0,0,False,1.0
85,7,3,1054.061,13015.15536,0,False,0.000102,0,False,1e-24,0.0355,0,False,0.63,-0.0091,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
86,7,2,1099.7671,13015.70589,0,False,0.000389,0,False,1e-24,0.0341,0,False,0.63,-0.0091,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
87,7,3,1052.285,13016.93135,0,False,9.79e-05,0,False,1e-24,0.0355,0,False,0.63,-0.0091,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
88,7,2,1025.8792,13019.01259,0,False,0.000563,0,False,1e-24,0.0355,0,False,0.63,-0.0091,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
89,7,3,979.072,13020.28483,0,False,0.000141,0,False,1e-24,0.0365,0,False,0.63,-0.0091,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
90,7,2,1024.0981,13020.79373,0,False,0.000541,0,False,1e-24,0.0355,0,False,0.63,-0.0091,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
91,7,1,933.53,13021.29,0,False,0.441,0,False,1e-24,0.04,0,False,0.63,-0.010477,0,False,5e-05,0,0,False,1,0.15,0,False,0.63,0,0,False,0,0,0,False,0.001751,0,False,4.323269736
92,7,3,977.2875,13022.06934,0,False,0.000136,0,False,1e-24,0.0365,0,False,0.63,-0.0089,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
93,7,1,931.74,13023.08,0,False,0.423,0,False,1e-24,0.04,0,False,0.63,-0.011577,0,False,5e-05,0,0,False,1,0.12,0,False,0.63,0,0,False,0,0,0,False,0.001638,0,False,4.437632126
94,7,1,931.3372,13023.48451,0,False,5.7800000000000006e-06,0,False,1e-24,0.0354,0,False,0.63,-0.0091,0,False,0.0,0,0,False,1,0.117223643,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
95,7,2,952.895,13024.00335,0,False,0.000773,0,False,1e-24,0.0365,0,False,0.63,-0.0091,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
96,7,3,906.8353,13025.32314,0,False,0.000193,0,False,1e-24,0.0375,0,False,0.63,-0.0089,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
97,7,2,951.1056,13025.79275,0,False,0.000743,0,False,1e-24,0.0365,0,False,0.63,-0.0089,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
98,7,3,905.0422,13027.11621,0,False,0.000185,0,False,1e-24,0.0375,0,False,0.63,-0.0089,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
99,7,2,882.5901,13028.90545,0,False,0.00105,0,False,1e-24,0.0375,0,False,0.63,-0.0089,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
